train_id	train_name	train_type	zone	source	destination	distance_km	avg_speed_kmph	scheduled_departure	scheduled_arrival	actual_departure	actual_arrival	delay_minutes	weather_condition	track_number	status
81283	Madurai-Coimbatore Rajdhani	Rajdhani	SR	Madurai	Coimbatore	1458	103.4	02:45	16:51	02:56	19:47	176	Clear	2	Delayed
95744	Coimbatore-Chennai Rajdhani	Rajdhani	SR	Coimbatore	Chennai	778	194.5	22:45	02:45	23:29	04:45	120	Fog	1	Delayed
57783	Bareilly-Kanpur Rajdhani	Rajdhani	NER	Bareilly	Kanpur	501	39.2	09:15	22:02	09:53	23:37	95	Clear	3	Delayed
63317	Secunderabad-Guntur Rajdhani	Rajdhani	SCR	Secunderabad	Guntur	1031	113.3	15:00	00:06	15:07	00:34	28	Heatwave	2	Delayed
42894	Bilaspur-Raipur Rajdhani	Rajdhani	SECR	Bilaspur	Raipur	798	59.9	06:00	19:19	06:58	21:24	125	Rain	3	Delayed
82566	Itarsi-Kota Rajdhani	Rajdhani	WCR	Itarsi	Kota	355	22.4	08:15	00:06	08:57	02:42	156	Heatwave	2	Delayed
46820	Vadodara-Surat Shatabdi	Shatabdi	WR	Vadodara	Surat	2333	144.9	13:30	05:36	14:30	08:08	152	Storm	3	Delayed
34476	Bilaspur-Raipur Shatabdi	Shatabdi	SECR	Bilaspur	Raipur	385	109.5	07:45	11:16	08:14	12:37	81	Heatwave	1	Delayed
68507	Gaya-Dhanbad Shatabdi	Shatabdi	ECR	Gaya	Dhanbad	972	49.7	04:15	23:48	04:55	02:00	132	Fog	3	Delayed
78148	Kota-Jabalpur Shatabdi	Shatabdi	WCR	Kota	Jabalpur	1387	109.8	23:45	12:23	23:48	15:15	172	Storm	1	Delayed
37203	Patna-Muzaffarpur Shatabdi	Shatabdi	ECR	Patna	Muzaffarpur	2040	176.4	12:15	23:49	12:50	01:04	75	Clear	2	Delayed
34091	Jabalpur-Bhopal Shatabdi	Shatabdi	WCR	Jabalpur	Bhopal	1876	252.4	11:00	18:26	11:47	20:24	118	Storm	3	Delayed
37015	Bikaner-Ajmer Shatabdi	Shatabdi	NWR	Bikaner	Ajmer	1930	122.5	14:15	06:00	14:29	07:23	83	Rain	1	Delayed
53534	Ajmer-Bikaner Shatabdi	Shatabdi	NWR	Ajmer	Bikaner	474	38.4	03:45	16:05	03:56	16:59	54	Fog	1	Delayed
58020	Patna-Gaya Shatabdi	Shatabdi	ECR	Patna	Gaya	1837	149.6	20:15	08:32	20:15	08:41	9	Rain	2	On Time
67673	Amritsar-New Delhi Shatabdi	Shatabdi	NR	Amritsar	New Delhi	961	538.9	22:30	00:17	22:45	02:46	149	Heatwave	2	Delayed
98302	Asansol-Howrah Shatabdi	Shatabdi	ER	Asansol	Howrah	101	4.4	22:00	21:08	22:22	23:06	118	Rain	2	Delayed
34653	New Delhi-Amritsar Shatabdi	Shatabdi	NR	New Delhi	Amritsar	522	36.2	17:30	07:55	18:07	10:36	161	Storm	1	Delayed
44445	Coimbatore-Trivandrum Shatabdi	Shatabdi	SR	Coimbatore	Trivandrum	1865	100.4	19:00	13:35	19:03	13:51	16	Fog	2	Delayed
85980	Allahabad-Bareilly Shatabdi	Shatabdi	NER	Allahabad	Bareilly	314	28.7	17:45	04:42	18:13	07:04	142	Heatwave	1	Delayed
84376	Bikaner-Jaipur Shatabdi	Shatabdi	NWR	Bikaner	Jaipur	1652	106.7	04:45	20:14	05:17	22:40	146	Clear	1	Delayed
68706	Gorakhpur-Bareilly Shatabdi	Shatabdi	NER	Gorakhpur	Bareilly	1019	67.3	04:00	19:09	04:46	21:51	162	Storm	3	Delayed
57792	Hyderabad-Secunderabad Shatabdi	Shatabdi	SCR	Hyderabad	Secunderabad	753	98.4	15:15	22:54	15:41	00:15	81	Fog	1	Delayed
94190	Allahabad-Kanpur Shatabdi	Shatabdi	NER	Allahabad	Kanpur	1150	72.1	03:30	19:27	03:39	22:04	157	Clear	3	Delayed
75951	Dhanbad-Gaya Shatabdi	Shatabdi	ECR	Dhanbad	Gaya	1490	103.2	00:30	14:56	01:07	16:18	82	Heatwave	1	Delayed
72427	Vadodara-Surat Shatabdi	Shatabdi	WR	Vadodara	Surat	1215	359.1	07:30	10:53	08:41	13:25	152	Clear	3	Delayed
68733	Dhanbad-Gaya Shatabdi	Shatabdi	ECR	Dhanbad	Gaya	2602	251	23:30	09:52	00:28	12:04	132	Heatwave	3	Delayed
65048	Vijayawada-Guntur Shatabdi	Shatabdi	SCR	Vijayawada	Guntur	2222	297.6	00:45	08:13	00:53	11:12	179	Rain	3	Delayed
67537	Nagpur-Bilaspur Shatabdi	Shatabdi	SECR	Nagpur	Bilaspur	2773	241.5	06:00	17:29	06:07	18:14	45	Heatwave	1	Delayed
62739	Allahabad-Bareilly Shatabdi	Shatabdi	NER	Allahabad	Bareilly	533	39.4	04:45	18:16	05:00	20:29	133	Heatwave	1	Delayed
27566	Madurai-Chennai Shatabdi	Shatabdi	SR	Madurai	Chennai	1626	102.9	04:45	20:33	04:49	21:32	59	Storm	1	Delayed
48902	Nagpur-Durg Shatabdi	Shatabdi	SECR	Nagpur	Durg	273	25.7	11:00	21:38	12:09	23:59	141	Clear	1	Delayed
31922	Jabalpur-Itarsi Shatabdi	Shatabdi	WCR	Jabalpur	Itarsi	573	126.4	04:15	08:47	05:16	10:58	131	Clear	3	Delayed
83525	Mumbai Central-Vadodara Shatabdi	Shatabdi	WR	Mumbai Central	Vadodara	2645	269	10:00	19:50	10:28	20:52	62	Clear	2	Delayed
94627	Jabalpur-Bhopal Shatabdi	Shatabdi	WCR	Jabalpur	Bhopal	715	44.3	13:00	05:08	13:30	07:04	116	Fog	3	Delayed
61655	Madurai-Trivandrum Shatabdi	Shatabdi	SR	Madurai	Trivandrum	1123	69.5	22:45	14:55	23:35	17:27	152	Rain	2	Delayed
11644	Muzaffarpur-Gaya Shatabdi	Shatabdi	ECR	Muzaffarpur	Gaya	583	37.2	16:45	08:26	16:47	08:31	5	Storm	1	On Time
23551	Kota-Itarsi Shatabdi	Shatabdi	WCR	Kota	Itarsi	2672	175.4	00:00	15:14	00:55	18:05	171	Heatwave	3	Delayed
61887	Allahabad-Gorakhpur Shatabdi	Shatabdi	NER	Allahabad	Gorakhpur	1237	116.3	21:30	08:08	21:33	08:34	26	Heatwave	2	Delayed
26078	Vijayawada-Guntur Shatabdi	Shatabdi	SCR	Vijayawada	Guntur	2261	201	05:15	16:30	05:21	19:01	151	Rain	2	Delayed
38404	Kanpur-Allahabad Shatabdi	Shatabdi	NER	Kanpur	Allahabad	2527	174.5	23:00	13:29	00:12	16:10	161	Heatwave	2	Delayed
84035	Secunderabad-Hyderabad Shatabdi	Shatabdi	SCR	Secunderabad	Hyderabad	179	11.9	12:00	03:03	12:50	05:26	143	Storm	1	Delayed
85339	Bilaspur-Durg Shatabdi	Shatabdi	SECR	Bilaspur	Durg	530	48.8	22:00	08:52	22:26	11:37	165	Rain	1	Delayed
49178	Bhopal-Jabalpur Shatabdi	Shatabdi	WCR	Bhopal	Jabalpur	1924	1803.8	19:00	20:04	19:10	21:31	87	Storm	1	Delayed
66510	Secunderabad-Hyderabad Shatabdi	Shatabdi	SCR	Secunderabad	Hyderabad	1714	153.5	22:00	09:10	22:10	09:33	23	Heatwave	3	Delayed
24930	Muzaffarpur-Dhanbad Shatabdi	Shatabdi	ECR	Muzaffarpur	Dhanbad	2671	175.7	01:00	16:12	01:35	17:50	98	Storm	2	Delayed
79099	Jodhpur-Ajmer Jan Shatabdi	Jan Shatabdi	NWR	Jodhpur	Ajmer	1344	94.8	23:30	13:41	00:34	16:09	148	Rain	3	Delayed
97562	New Delhi-Amritsar Jan Shatabdi	Jan Shatabdi	NR	New Delhi	Amritsar	1532	321.4	21:45	02:31	22:07	04:51	140	Storm	1	Delayed
48855	Bareilly-Allahabad Jan Shatabdi	Jan Shatabdi	NER	Bareilly	Allahabad	570	26.5	19:00	16:33	19:12	17:39	66	Rain	1	Delayed
73938	Sealdah-Asansol Jan Shatabdi	Jan Shatabdi	ER	Sealdah	Asansol	813	72.5	23:45	10:58	00:31	12:55	117	Rain	1	Delayed
66327	Trivandrum-Madurai Jan Shatabdi	Jan Shatabdi	SR	Trivandrum	Madurai	243	11.4	02:30	23:46	02:59	01:19	93	Clear	2	Delayed
67317	Ahmedabad-Mumbai Central Jan Shatabdi	Jan Shatabdi	WR	Ahmedabad	Mumbai Central	2408	244.5	02:15	12:06	02:17	12:14	8	Heatwave	1	On Time
15652	Chennai-Coimbatore Jan Shatabdi	Jan Shatabdi	SR	Chennai	Coimbatore	1515	1420.3	12:15	13:19	12:32	13:58	39	Rain	2	Delayed
75912	Durg-Bilaspur Jan Shatabdi	Jan Shatabdi	SECR	Durg	Bilaspur	1298	236.7	07:00	12:29	07:47	14:44	135	Fog	1	Delayed
19995	Varanasi-Amritsar Jan Shatabdi	Jan Shatabdi	NR	Varanasi	Amritsar	189	19.4	12:15	22:01	13:07	00:05	124	Clear	2	Delayed
28578	Kota-Itarsi Jan Shatabdi	Jan Shatabdi	WCR	Kota	Itarsi	899	39.1	17:00	15:58	17:14	16:49	51	Clear	1	Delayed
89543	Bhopal-Kota Jan Shatabdi	Jan Shatabdi	WCR	Bhopal	Kota	1277	139.3	09:15	18:25	09:27	19:22	57	Clear	3	Delayed
42484	Mumbai Central-Ahmedabad Jan Shatabdi	Jan Shatabdi	WR	Mumbai Central	Ahmedabad	196	13.1	19:15	10:14	19:18	11:58	104	Storm	2	Delayed
42283	Sealdah-Asansol Jan Shatabdi	Jan Shatabdi	ER	Sealdah	Asansol	204	12.9	08:45	00:35	08:46	00:40	5	Fog	3	On Time
95551	Sealdah-Asansol Jan Shatabdi	Jan Shatabdi	ER	Sealdah	Asansol	761	36.7	07:15	03:58	07:31	04:37	39	Rain	3	Delayed
61783	Jaipur-Bikaner Jan Shatabdi	Jan Shatabdi	NWR	Jaipur	Bikaner	934	69	02:45	16:17	03:03	17:22	65	Heatwave	1	Delayed
45166	Coimbatore-Madurai Jan Shatabdi	Jan Shatabdi	SR	Coimbatore	Madurai	496	29.4	11:45	04:36	12:03	06:42	126	Rain	1	Delayed
44910	Asansol-Sealdah Jan Shatabdi	Jan Shatabdi	ER	Asansol	Sealdah	2009	130.2	16:30	07:56	16:49	09:24	88	Storm	2	Delayed
93986	Guntur-Vijayawada Jan Shatabdi	Jan Shatabdi	SCR	Guntur	Vijayawada	2048	215.6	03:30	13:00	03:58	15:45	165	Heatwave	2	Delayed
30025	Vadodara-Surat Jan Shatabdi	Jan Shatabdi	WR	Vadodara	Surat	1566	185.7	16:45	01:11	17:11	04:07	176	Heatwave	2	Delayed
50636	Varanasi-Amritsar Jan Shatabdi	Jan Shatabdi	NR	Varanasi	Amritsar	2292	291.4	03:45	11:37	03:51	14:04	147	Rain	1	Delayed
47014	Bikaner-Jaipur Jan Shatabdi	Jan Shatabdi	NWR	Bikaner	Jaipur	1646	113.8	09:45	00:13	09:51	01:31	78	Storm	2	Delayed
84271	Patna-Howrah Jan Shatabdi	Jan Shatabdi	ER	Patna	Howrah	861	44	21:30	17:03	21:44	18:02	59	Storm	3	Delayed
58811	Ajmer-Jaipur Jan Shatabdi	Jan Shatabdi	NWR	Ajmer	Jaipur	564	48.1	00:00	11:44	00:00	11:59	15	Fog	3	On Time
19419	Madurai-Chennai Jan Shatabdi	Jan Shatabdi	SR	Madurai	Chennai	851	455.9	21:00	22:52	21:02	00:25	93	Clear	3	Delayed
39162	Madurai-Coimbatore Jan Shatabdi	Jan Shatabdi	SR	Madurai	Coimbatore	766	32.3	14:30	14:13	14:43	15:56	103	Rain	3	Delayed
94462	Sealdah-Howrah Jan Shatabdi	Jan Shatabdi	ER	Sealdah	Howrah	1964	158.6	03:15	15:38	03:50	17:06	88	Clear	1	Delayed
37969	Madurai-Coimbatore Jan Shatabdi	Jan Shatabdi	SR	Madurai	Coimbatore	1677	254.7	23:15	05:50	23:19	06:22	32	Heatwave	1	Delayed
10209	Gorakhpur-Kanpur Jan Shatabdi	Jan Shatabdi	NER	Gorakhpur	Kanpur	133	6.3	20:30	17:38	20:57	18:32	54	Storm	1	Delayed
44542	Bilaspur-Raipur Jan Shatabdi	Jan Shatabdi	SECR	Bilaspur	Raipur	1967	98	17:00	13:04	17:54	15:14	130	Fog	3	Delayed
90969	Nagpur-Durg Jan Shatabdi	Jan Shatabdi	SECR	Nagpur	Durg	399	181.4	20:30	22:42	20:35	23:37	55	Heatwave	2	Delayed
52583	Gorakhpur-Kanpur Jan Shatabdi	Jan Shatabdi	NER	Gorakhpur	Kanpur	1654	194.6	04:15	12:45	04:27	14:48	123	Storm	3	Delayed
36682	Nagpur-Bilaspur Jan Shatabdi	Jan Shatabdi	SECR	Nagpur	Bilaspur	1978	201.5	05:30	15:19	06:03	17:49	150	Fog	3	Delayed
62464	Trivandrum-Madurai Jan Shatabdi	Jan Shatabdi	SR	Trivandrum	Madurai	2312	196.5	06:15	18:01	06:32	20:27	146	Storm	3	Delayed
63068	Sealdah-Patna Jan Shatabdi	Jan Shatabdi	ER	Sealdah	Patna	2130	242.5	15:45	00:32	16:03	03:09	157	Fog	2	Delayed
66755	Asansol-Howrah Jan Shatabdi	Jan Shatabdi	ER	Asansol	Howrah	1202	208.4	11:30	17:16	12:25	19:06	110	Storm	1	Delayed
72449	Hyderabad-Guntur Jan Shatabdi	Jan Shatabdi	SCR	Hyderabad	Guntur	2444	539.1	18:30	23:02	18:32	23:41	39	Fog	2	Delayed
98638	Coimbatore-Madurai Jan Shatabdi	Jan Shatabdi	SR	Coimbatore	Madurai	558	35.8	16:45	08:21	16:47	09:35	74	Rain	3	Delayed
71084	Jaipur-Bikaner Jan Shatabdi	Jan Shatabdi	NWR	Jaipur	Bikaner	211	16.1	18:00	07:06	18:32	09:16	130	Heatwave	2	Delayed
95309	Jaipur-Jodhpur Jan Shatabdi	Jan Shatabdi	NWR	Jaipur	Jodhpur	1070	74.5	21:15	11:37	21:15	14:22	165	Fog	3	Delayed
66356	Dhanbad-Patna Jan Shatabdi	Jan Shatabdi	ECR	Dhanbad	Patna	1724	104.8	04:15	20:42	04:19	21:00	18	Rain	1	Delayed
63836	Jaipur-Bikaner Garib Rath	Garib Rath	NWR	Jaipur	Bikaner	910	72.8	17:45	06:15	18:05	08:35	140	Fog	3	Delayed
47441	New Delhi-Varanasi Garib Rath	Garib Rath	NR	New Delhi	Varanasi	2555	220.9	15:45	03:19	16:16	04:42	83	Clear	3	Delayed
49510	Guntur-Hyderabad Garib Rath	Garib Rath	SCR	Guntur	Hyderabad	699	74.2	19:00	04:25	19:18	05:02	37	Heatwave	1	Delayed
59664	Sealdah-Patna Garib Rath	Garib Rath	ER	Sealdah	Patna	2759	762.9	12:45	16:22	13:18	18:50	148	Fog	1	Delayed
50824	Jabalpur-Kota Garib Rath	Garib Rath	WCR	Jabalpur	Kota	621	414	00:30	02:00	01:13	04:09	129	Heatwave	1	Delayed
12555	Bikaner-Ajmer Garib Rath	Garib Rath	NWR	Bikaner	Ajmer	784	210	06:30	10:14	07:09	12:29	135	Clear	2	Delayed
28728	Bareilly-Kanpur Garib Rath	Garib Rath	NER	Bareilly	Kanpur	349	51.2	13:15	20:04	13:41	22:25	141	Storm	2	Delayed
78878	Gaya-Muzaffarpur Garib Rath	Garib Rath	ECR	Gaya	Muzaffarpur	433	169.8	17:00	19:33	17:21	21:16	103	Clear	3	Delayed
52116	Sealdah-Asansol Garib Rath	Garib Rath	ER	Sealdah	Asansol	487	31.3	21:15	12:48	22:04	14:28	100	Storm	1	Delayed
24546	Lucknow-New Delhi Garib Rath	Garib Rath	NR	Lucknow	New Delhi	1170	85.6	17:00	06:40	17:00	06:48	8	Rain	3	On Time
99701	Coimbatore-Chennai Garib Rath	Garib Rath	SR	Coimbatore	Chennai	2336	137.3	12:00	05:01	12:06	05:55	54	Rain	1	Delayed
77421	Nagpur-Durg Garib Rath	Garib Rath	SECR	Nagpur	Durg	2388	474.4	11:30	16:32	11:59	17:50	78	Rain	1	Delayed
16389	Hyderabad-Guntur Garib Rath	Garib Rath	SCR	Hyderabad	Guntur	1897	107	10:00	03:44	10:16	05:49	125	Storm	3	Delayed
66030	Varanasi-Lucknow Garib Rath	Garib Rath	NR	Varanasi	Lucknow	2222	1033.5	13:15	15:24	13:21	17:51	147	Storm	1	Delayed
29009	Hyderabad-Secunderabad Garib Rath	Garib Rath	SCR	Hyderabad	Secunderabad	1661	164.7	20:45	06:50	20:53	07:15	25	Heatwave	2	Delayed
95426	Howrah-Patna Garib Rath	Garib Rath	ER	Howrah	Patna	2409	3075.3	04:00	04:47	04:12	05:54	67	Storm	1	Delayed
89381	Kanpur-Gorakhpur Garib Rath	Garib Rath	NER	Kanpur	Gorakhpur	2479	2438.4	03:45	04:46	04:01	05:53	67	Storm	2	Delayed
74689	Durg-Raipur Garib Rath	Garib Rath	SECR	Durg	Raipur	413	53.6	01:45	09:27	02:06	10:22	55	Rain	1	Delayed
58116	Asansol-Sealdah Garib Rath	Garib Rath	ER	Asansol	Sealdah	1715	169.5	22:15	08:22	23:26	10:47	145	Heatwave	2	Delayed
53761	Jaipur-Bikaner Garib Rath	Garib Rath	NWR	Jaipur	Bikaner	1290	157.6	13:30	21:41	13:52	23:23	102	Rain	3	Delayed
27910	Amritsar-New Delhi Mail	Mail	NR	Amritsar	New Delhi	2282	148.3	22:15	13:38	22:31	15:14	96	Heatwave	2	Delayed
32128	Mumbai Central-Ahmedabad Mail	Mail	WR	Mumbai Central	Ahmedabad	849	110.3	14:45	22:27	15:04	23:48	81	Heatwave	1	Delayed
50049	Kanpur-Bareilly Mail	Mail	NER	Kanpur	Bareilly	947	42.4	08:45	07:06	08:50	07:18	12	Heatwave	1	On Time
31566	Vijayawada-Hyderabad Mail	Mail	SCR	Vijayawada	Hyderabad	376	43.1	04:30	13:14	05:00	15:46	152	Storm	2	Delayed
19473	Kanpur-Gorakhpur Mail	Mail	NER	Kanpur	Gorakhpur	1191	306.7	12:15	16:08	13:04	18:16	128	Clear	3	Delayed
76874	Raipur-Bilaspur Mail	Mail	SECR	Raipur	Bilaspur	1409	164.8	11:00	19:33	11:19	20:39	66	Rain	1	Delayed
64898	Muzaffarpur-Dhanbad Mail	Mail	ECR	Muzaffarpur	Dhanbad	2269	444.9	01:15	06:21	01:33	07:19	58	Clear	2	Delayed
76092	Jodhpur-Jaipur Mail	Mail	NWR	Jodhpur	Jaipur	1451	275.5	16:30	21:46	16:55	00:08	142	Storm	1	Delayed
36746	Ahmedabad-Mumbai Central Mail	Mail	WR	Ahmedabad	Mumbai Central	1887	278.2	08:15	15:02	08:46	16:43	101	Heatwave	1	Delayed
60264	Surat-Ahmedabad Mail	Mail	WR	Surat	Ahmedabad	2642	164.1	12:30	04:36	12:33	04:44	8	Heatwave	3	On Time
25456	Raipur-Bilaspur Mail	Mail	SECR	Raipur	Bilaspur	1043	125.2	11:00	19:20	11:55	22:08	168	Rain	3	Delayed
96428	Vadodara-Mumbai Central Mail	Mail	WR	Vadodara	Mumbai Central	503	29.2	18:30	11:42	18:38	13:20	98	Fog	1	Delayed
48322	Mumbai Central-Ahmedabad Mail	Mail	WR	Mumbai Central	Ahmedabad	1628	179.6	23:45	08:49	23:56	09:58	69	Fog	2	Delayed
75821	Varanasi-Amritsar Mail	Mail	NR	Varanasi	Amritsar	1708	93.2	13:15	07:34	13:18	08:15	41	Heatwave	2	Delayed
95860	Ajmer-Jodhpur Mail	Mail	NWR	Ajmer	Jodhpur	361	21.1	13:00	06:06	14:23	09:03	177	Rain	2	Delayed
65843	Gaya-Dhanbad Mail	Mail	ECR	Gaya	Dhanbad	1119	111.2	06:15	16:19	06:19	16:28	9	Rain	2	On Time
51325	Ajmer-Jodhpur Mail	Mail	NWR	Ajmer	Jodhpur	2636	1075.9	23:15	01:42	00:10	03:48	126	Fog	3	Delayed
90016	Allahabad-Bareilly Mail	Mail	NER	Allahabad	Bareilly	1628	345.2	03:15	07:58	03:16	08:16	18	Clear	3	Delayed
15854	Muzaffarpur-Gaya Mail	Mail	ECR	Muzaffarpur	Gaya	2199	146.1	11:15	02:18	11:58	04:37	139	Clear	1	Delayed
71246	Nagpur-Durg Mail	Mail	SECR	Nagpur	Durg	1322	237.5	01:00	06:34	01:28	08:15	101	Storm	2	Delayed
57029	Vadodara-Ahmedabad Mail	Mail	WR	Vadodara	Ahmedabad	2516	393.1	13:15	19:39	13:53	21:46	127	Storm	1	Delayed
28780	Surat-Ahmedabad Mail	Mail	WR	Surat	Ahmedabad	651	56	23:00	10:38	23:09	10:56	18	Rain	3	Delayed
43038	Patna-Dhanbad Mail	Mail	ECR	Patna	Dhanbad	1245	227.7	21:15	02:43	21:17	03:00	17	Clear	1	Delayed
34688	Hyderabad-Secunderabad Mail	Mail	SCR	Hyderabad	Secunderabad	1649	81.6	14:15	10:28	15:30	13:13	165	Heatwave	1	Delayed
14447	Ahmedabad-Surat Mail	Mail	WR	Ahmedabad	Surat	1830	203.7	06:15	15:14	06:30	15:56	42	Storm	1	Delayed
45039	Howrah-Patna Mail	Mail	ER	Howrah	Patna	999	92.5	07:30	18:18	07:34	18:49	31	Clear	2	Delayed
63101	Ahmedabad-Vadodara Mail	Mail	WR	Ahmedabad	Vadodara	1987	110.9	11:30	05:25	11:40	08:11	166	Fog	3	Delayed
21395	Patna-Dhanbad Mail	Mail	ECR	Patna	Dhanbad	99	21.6	20:15	00:50	20:57	02:42	112	Clear	3	Delayed
52656	Trivandrum-Chennai Mail	Mail	SR	Trivandrum	Chennai	1032	115.3	20:00	04:57	20:03	05:12	15	Rain	1	On Time
65362	Gorakhpur-Kanpur Mail	Mail	NER	Gorakhpur	Kanpur	601	371.8	17:15	18:52	17:15	20:00	68	Heatwave	2	Delayed
55189	Howrah-Patna Mail	Mail	ER	Howrah	Patna	531	155.4	04:00	07:25	04:20	08:08	43	Fog	2	Delayed
91899	Vijayawada-Secunderabad Mail	Mail	SCR	Vijayawada	Secunderabad	1698	118.6	07:15	21:34	07:22	21:50	16	Rain	2	Delayed
94433	Bilaspur-Nagpur Mail	Mail	SECR	Bilaspur	Nagpur	275	15.2	05:45	23:50	06:06	02:31	161	Clear	3	Delayed
