train_no	train_name	train_type	schedule_ar	schedule_dep	actual_ar	actual_dep	delay	track	directions
19435	Korba-Dongargarh Express	Express	01:05	15:30	01:20	15:34	15	1	up
79802	Durg-Korba Express	Express	14:14	07:45	15:49	08:17	95	3	down
20208	Dongargarh-Durg Express	Express	13:08	09:30	14:08	09:55	60	2	up
62673	Rajnandgaon-Pendra Road Express	Express	20:52	16:00	22:49	16:55	117	1	up
76160	Dongargarh-Pendra Road Express	Express	10:57	04:45	12:27	04:58	90	3	down
32657	Raipur-Rajnandgaon Express	Express	01:28	20:00	03:28	21:00	120	1	up
46522	Raigarh-Bilaspur Express	Express	22:18	14:15	23:59	14:58	101	3	down
99269	Durg-Rajnandgaon Express	Express	12:20	01:45	13:01	01:55	41	3	down
59229	Dongargarh-Pendra Road Passenger	Passenger	20:37	18:15	21:04	18:28	27	3	down
95175	Jangir Champa-Dalli Rajhara Passenger	Passenger	15:42	04:45	16:31	04:46	49	2	up
77595	Durg-Bilaspur Passenger	Passenger	04:34	23:30	05:47	23:45	73	2	down
77849	Rajnandgaon-Raipur Passenger	Passenger	18:51	10:15	20:37	10:58	106	1	down
47008	Bilaspur-Jangir Champa Passenger	Passenger	03:05	16:45	03:29	16:47	24	2	up
13545	Balod-Dongargarh Passenger	Passenger	16:38	09:15	16:52	09:17	14	2	down
69481	Durg-Bilaspur Passenger	Passenger	15:59	07:30	16:44	07:37	45	1	up
93588	Jangir Champa-Pendra Road Passenger	Passenger	14:12	03:45	16:08	04:39	116	2	up
11706	Jangir Champa-Raipur Passenger	Passenger	05:18	23:15	06:33	23:52	75	1	up
97124	Raigarh-Pendra Road Passenger	Passenger	00:45	22:30	01:41	22:39	56	1	up
63186	Raipur-Dalli Rajhara Passenger	Passenger	01:20	20:45	02:56	20:51	96	2	down
82213	Jangir Champa-Raigarh Passenger	Passenger	02:06	15:15	02:35	15:23	29	1	up
15808	Jangir Champa-Korba Passenger	Passenger	23:48	21:00	00:03	21:00	15	2	down
29840	Raigarh-Korba Passenger	Passenger	12:05	05:30	12:48	05:40	43	3	up
67699	Bilaspur-Dalli Rajhara Passenger	Passenger	21:22	14:15	22:55	14:55	93	3	down
11768	Pendra Road-Ambikapur Passenger	Passenger	19:54	14:45	20:38	14:47	44	2	up
86564	Ambikapur-Durg Passenger	Passenger	18:35	09:00	19:42	09:05	67	2	up
76782	Raigarh-Dalli Rajhara Passenger	Passenger	15:58	05:30	17:50	06:03	112	2	up
97024	Ambikapur-Dongargarh Passenger	Passenger	14:06	12:00	15:13	12:23	67	2	down
12643	Dalli Rajhara-Balod Passenger	Passenger	18:23	09:00	19:58	09:40	95	3	down
34080	Dalli Rajhara-Dongargarh Goods	Goods	03:51	21:00	05:20	21:12	89	3	down
49372	Raipur-Durg Goods	Goods	17:47	13:30	19:36	13:38	109	1	up
40627	Raipur-Durg Goods	Goods	03:03	23:45	03:21	23:53	18	1	down
30337	Pendra Road-Bilaspur Goods	Goods	21:00	17:45	21:30	17:50	30	2	down
23581	Raipur-Durg Goods	Goods	10:19	08:00	12:03	08:33	104	3	down
95478	Durg-Raigarh Goods	Goods	22:07	20:00	22:38	20:07	31	3	up
22276	Bilaspur-Ambikapur Goods	Goods	01:07	14:15	02:36	14:23	89	3	down
30529	Rajnandgaon-Korba Goods	Goods	02:33	15:45	04:12	15:54	99	3	up
97095	Ambikapur-Dongargarh Goods	Goods	04:35	21:30	04:52	21:38	17	1	up
43279	Raipur-Ambikapur Goods	Goods	13:50	04:30	14:40	04:41	50	2	up
15417	Raigarh-Balod Goods	Goods	16:01	08:15	16:16	08:16	15	1	up
73255	Ambikapur-Raipur Goods	Goods	10:44	00:00	10:54	00:05	10	1	up
97130	Ambikapur-Durg Goods	Goods	06:23	20:30	06:49	20:38	26	2	down
69732	Raipur-Ambikapur Goods	Goods	10:58	00:15	12:39	00:19	101	2	down
64473	Ambikapur-Balod Goods	Goods	16:43	06:45	17:51	07:07	68	3	up
15907	Pendra Road-Bilaspur Goods	Goods	06:12	03:45	06:33	03:46	21	2	up
69587	Balod-Durg Goods	Goods	22:12	19:00	22:55	19:14	43	3	up
52647	Jangir Champa-Raigarh Goods	Goods	22:11	14:00	00:04	14:10	113	1	up
66062	Raipur-Rajnandgaon Goods	Goods	19:41	10:15	21:21	10:58	100	3	down
15202	Jangir Champa-Dongargarh Goods	Goods	01:18	20:45	02:56	21:10	98	3	up
84282	Jangir Champa-Balod Goods	Goods	08:51	22:30	09:36	22:37	45	3	down
45972	Pendra Road-Korba Goods	Goods	04:14	01:30	05:49	02:09	95	1	up
59421	Balod-Raipur Goods	Goods	16:38	07:45	18:11	07:49	93	2	down
27434	Korba-Pendra Road Goods	Goods	22:12	13:15	22:32	13:19	20	1	up
82786	Raigarh-Jangir Champa Goods	Goods	22:03	14:00	23:29	14:18	86	1	down
45393	Ambikapur-Bilaspur Goods	Goods	06:22	00:00	06:33	00:01	11	1	down
